Year,Province,Goods-producing sector ,Agriculture ,"Forestry, fishing, mining, quarrying, oil and gas",Forestry and logging and support activities for forestry,"Fishing, hunting and trapping","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durables,Non-durables,Services-producing,Wholesale and retail trade,Wholesale trade,Retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing",Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services","Business, building and other support services ",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
2026,New Brunswick,0.0,3.9,1.3,6.6,5.6,5.9,4.2,0.0,0.0,0.0,0.0,5.9,0.0,1.7,0.0,0.0,-0.5,0.4,6.6,-1.4,-1.6,0.0,0.0,-0.8,-0.5,0.0,0.0
2027,New Brunswick,0.0,3.8,1.4,6.7,5.7,6.0,4.2,0.0,0.0,0.0,0.0,5.9,0.0,1.6,0.0,0.0,-0.5,0.4,6.7,-1.6,-1.8,0.0,0.0,-0.9,-0.5,0.0,0.0
2028,New Brunswick,0.0,3.8,1.4,6.8,5.8,6.0,4.2,0.0,0.0,0.0,0.0,6.0,0.0,1.6,0.0,0.0,-0.5,0.3,6.8,-1.7,-2.0,0.0,0.0,-1.0,-0.5,0.0,0.0
2029,New Brunswick,0.0,3.7,1.4,6.9,5.9,6.1,4.2,0.0,0.0,0.0,0.0,6.0,0.0,1.6,0.0,0.0,-0.6,0.3,6.9,-1.8,-2.1,0.0,0.0,-1.1,-0.6,0.0,0.0
2024,Quebec,3.2,0.0,0.0,1.0,2.9,0.0,0.0,4.2,5.7,5.8,7.0,0.0,6.1,6.3,6.1,5.3,5.7,7.7,0.0,5.3,5.4,5.3,4.5,6.2,4.1,4.0,6.5
2025,Quebec,3.2,0.0,0.0,1.0,2.9,0.0,0.0,4.1,5.7,5.9,7.2,0.0,6.2,6.3,6.2,5.3,5.7,7.8,0.0,5.4,5.6,5.3,4.5,6.3,4.1,3.9,6.5
2026,Quebec,3.1,0.0,0.0,1.1,3.0,0.0,0.0,4.1,5.7,6.0,7.3,0.0,6.2,6.4,6.2,5.3,5.7,8.0,0.0,5.4,5.7,5.3,4.5,6.4,4.1,3.9,6.6
2027,Quebec,3.1,0.0,0.0,1.1,3.0,0.0,0.0,4.0,5.7,6.0,7.4,0.0,6.3,6.5,6.3,5.2,5.7,8.1,0.0,5.5,5.8,5.3,4.4,6.5,4.0,3.8,6.6
2028,Quebec,3.0,0.0,0.0,1.1,3.0,0.0,0.0,4.0,5.7,6.1,7.5,0.0,6.3,6.6,6.4,5.2,5.8,8.3,0.0,5.6,6.0,5.3,4.4,6.6,4.0,3.8,6.7
2029,Quebec,3.0,0.0,0.0,1.2,3.0,0.0,0.0,4.0,5.8,6.2,7.6,0.0,6.4,6.7,6.5,5.2,5.8,8.4,0.0,5.7,6.1,5.4,4.4,6.8,4.0,3.7,6.7
2024,Ontario,0.0,-1.5,0.0,6.5,0.3,0.0,0.0,5.3,3.6,6.2,6.3,0.0,0.4,6.0,6.8,4.2,5.7,5.2,6.0,5.3,7.8,5.1,4.8,3.8,4.9,5.4,4.2
2025,Ontario,0.0,-1.7,0.0,6.7,0.3,0.0,0.0,5.3,3.6,6.3,6.4,0.0,0.3,6.1,6.9,4.2,5.8,5.3,6.1,5.3,8.0,5.1,4.8,3.8,4.9,5.4,4.1
2026,Ontario,0.0,-1.9,0.0,6.8,0.3,0.0,0.0,5.3,3.6,6.4,6.5,0.0,0.1,6.1,7.0,4.2,5.8,5.3,6.1,5.4,8.1,5.1,4.8,3.7,4.8,5.4,4.1
2027,Ontario,0.0,-2.0,0.0,7.0,0.3,0.0,0.0,5.3,3.6,6.5,6.6,0.0,0.0,6.2,7.1,4.2,5.8,5.4,6.2,5.4,8.2,5.1,4.8,3.7,4.8,5.4,4.1
2028,Ontario,0.0,-2.2,0.0,7.1,0.3,0.0,0.0,5.3,3.7,6.6,6.7,0.0,-0.1,6.3,7.2,4.2,5.9,5.5,6.3,5.4,8.3,5.1,4.8,3.6,4.8,5.5,4.1
2029,Ontario,0.0,-2.4,0.0,7.3,0.3,0.0,0.0,5.3,3.7,6.7,6.8,0.0,-0.2,6.4,7.3,4.2,5.9,5.6,6.4,5.4,8.5,5.1,4.8,3.6,4.8,5.5,4.1
2024,Manitoba,4.7,0.0,5.2,5.7,0.5,6.9,3.6,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-0.7,-1.5,0.0,3.0,0.0,0.0,0.0,0.0
2025,Manitoba,4.7,0.0,5.3,5.8,0.5,7.1,3.6,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-0.8,-1.6,0.0,3.1,0.0,0.0,0.0,0.0
2026,Manitoba,4.7,0.0,5.3,5.9,0.5,7.2,3.5,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,6.2,-0.8,-1.8,0.0,3.2,0.0,0.0,0.0,0.0
2027,Manitoba,4.7,0.0,5.3,6.0,0.5,7.3,3.5,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,6.3,-0.8,-1.9,0.0,3.3,0.0,0.0,0.0,0.0
2028,Manitoba,4.7,0.0,5.3,6.1,0.4,7.4,3.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,6.4,-0.9,-2.0,0.0,3.4,0.0,0.0,0.0,0.0
2029,Manitoba,4.6,0.0,5.3,6.2,0.4,7.5,3.4,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,6.5,-0.9,-2.1,0.0,3.4,0.0,0.0,0.0,0.0
2024,Saskatchewan,5.9,0.0,-0.8,7.0,-0.1,0.0,5.0,0.0,0.0,0.0,0.5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,6.7,-0.8,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
2025,Saskatchewan,5.9,0.0,-0.9,7.1,-0.1,0.0,5.1,0.0,0.0,0.0,0.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,6.8,-0.9,-1.3,0.0,0.0,0.0,0.0,0.0,0.0
2026,Saskatchewan,6.0,0.0,-0.9,7.3,-0.1,0.0,5.1,0.0,0.0,0.0,0.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.9,-1.5,0.0,0.0,0.0,0.0,0.0,0.0
2027,Saskatchewan,6.0,0.0,-1.0,7.4,-0.1,0.0,5.1,0.0,0.0,0.0,0.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,7.1,-1.0,-1.6,0.0,0.0,0.0,0.0,0.0,0.0
2028,Saskatchewan,6.0,0.0,-1.0,7.5,-0.1,0.0,5.2,0.0,0.0,0.0,0.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,7.2,-1.0,-1.8,0.0,0.0,0.0,0.0,0.0,0.0
2029,Saskatchewan,6.1,0.0,-1.1,7.6,-0.1,0.0,5.2,0.0,0.0,0.0,0.5,5.8,0.0,0.0,0.0,0.0,0.0,0.0,7.3,-1.1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,Alberta,5.9,-0.4,5.5,5.9,0.0,5.4,-0.5,5.7,7.3,0.0,0.0,-1.7,4.9,0.0,7.6,6.3,3.6,0.0,0.0,4.6,0.0,6.6,4.6,0.0,6.6,2.9,1.9
2025,Alberta,5.9,-0.4,5.7,6.0,0.0,5.5,-0.6,5.8,7.4,0.0,0.0,-1.9,4.9,0.0,7.7,6.5,3.7,0.0,0.0,4.7,0.0,6.7,4.6,0.0,6.7,3.0,2.0
2026,Alberta,5.9,-0.4,5.8,6.1,0.0,5.6,-0.6,5.9,7.6,0.0,0.0,-2.1,4.9,0.0,7.8,6.6,3.8,0.0,0.0,4.8,0.0,6.9,4.7,0.0,6.9,3.0,2.0
2027,Alberta,5.9,-0.5,6.0,6.2,0.0,5.8,-0.7,6.0,7.7,0.0,0.0,-2.2,4.9,0.0,7.9,6.8,3.9,0.0,0.0,4.9,0.0,7.1,4.7,0.0,7.0,3.1,2.1
2028,Alberta,5.9,-0.5,6.1,6.3,0.0,5.9,-0.7,6.1,7.9,0.0,0.0,-2.4,5.0,0.0,8.1,7.0,4.0,0.0,0.0,5.0,0.0,7.2,4.8,0.0,7.2,3.2,2.1
2029,Alberta,6.0,-0.5,6.3,6.4,0.0,6.1,-0.8,6.2,8.0,0.0,0.0,-2.5,5.0,0.0,8.2,7.2,4.1,0.0,0.0,5.1,0.0,7.4,4.8,0.0,7.3,3.3,2.2
2024,British Columbia,5.3,0.0,0.0,0.0,7.0,0.0,0.2,6.5,4.5,4.9,0.0,-0.9,4.8,0.0,6.3,5.1,6.3,3.3,0.0,6.0,0.6,6.2,5.7,5.8,4.4,4.2,4.8
2025,British Columbia,5.3,0.0,0.0,0.0,7.2,0.0,0.2,6.6,4.4,5.0,0.0,-1.0,4.8,0.0,6.4,5.2,6.4,3.4,0.0,6.1,0.6,6.3,5.8,5.9,4.5,4.4,5.0
2026,British Columbia,5.3,0.0,0.0,0.0,7.3,0.0,0.2,6.7,4.4,5.1,0.0,-1.1,4.8,0.0,6.5,5.3,6.5,3.5,0.0,6.3,0.7,6.4,5.8,6.0,4.6,4.5,5.1
2027,British Columbia,5.3,0.0,0.0,0.0,7.4,0.0,0.2,6.8,4.4,5.1,0.0,-1.2,4.8,0.0,6.6,5.4,6.6,3.6,0.0,6.4,0.7,6.5,5.8,6.2,4.7,4.6,5.2
2028,British Columbia,5.3,0.0,0.0,0.0,7.5,0.0,0.2,7.0,4.4,5.2,0.0,-1.2,4.7,0.0,6.6,5.5,6.8,3.6,0.0,6.6,0.7,6.7,5.9,6.3,4.7,4.7,5.3
2029,British Columbia,5.3,0.0,0.0,0.0,7.7,0.0,0.2,7.1,4.4,5.2,0.0,-1.3,4.7,0.0,6.7,5.6,6.9,3.7,0.0,6.7,0.7,6.8,5.9,6.5,4.8,4.8,5.5
