Year,Quarter,Predicted Population,Province
2025,1,158126,Prince Edward Island
2025,2,158230,Prince Edward Island
2025,3,158333,Prince Edward Island
2026,4,159268,Prince Edward Island
2026,1,158958,Prince Edward Island
2026,2,159061,Prince Edward Island
2026,3,159164,Prince Edward Island
2027,4,160099,Prince Edward Island
2027,1,159789,Prince Edward Island
2027,2,159892,Prince Edward Island
2027,3,159996,Prince Edward Island
2028,4,160930,Prince Edward Island
2028,1,160620,Prince Edward Island
2028,2,160724,Prince Edward Island
2028,3,160827,Prince Edward Island
2029,4,161762,Prince Edward Island
2024,1,8747298,Quebec
2024,2,8767882,Quebec
2024,3,8788467,Quebec
2025,4,8864598,Quebec
2025,1,8802846,Quebec
2025,2,8823430,Quebec
2025,3,8844014,Quebec
2026,4,8920146,Quebec
2026,1,8858393,Quebec
2026,2,8878977,Quebec
2026,3,8899561,Quebec
2027,4,8975693,Quebec
2027,1,8913940,Quebec
2027,2,8934525,Quebec
2027,3,8955109,Quebec
2028,4,9031240,Quebec
2028,1,8969488,Quebec
2028,2,8990072,Quebec
2028,3,9010656,Quebec
2029,4,9086788,Quebec
2024,1,1129830,Saskatchewan
2024,2,1131177,Saskatchewan
2024,3,1132525,Saskatchewan
2025,4,1137546,Saskatchewan
2025,1,1133504,Saskatchewan
2025,2,1134851,Saskatchewan
2025,3,1136198,Saskatchewan
2026,4,1141219,Saskatchewan
2026,1,1137178,Saskatchewan
2026,2,1138525,Saskatchewan
2026,3,1139872,Saskatchewan
2027,4,1144893,Saskatchewan
2027,1,1140851,Saskatchewan
2027,2,1142199,Saskatchewan
2027,3,1143546,Saskatchewan
2028,4,1148567,Saskatchewan
2028,1,1144525,Saskatchewan
2028,2,1145873,Saskatchewan
2028,3,1147220,Saskatchewan
2029,4,1152241,Saskatchewan
2024,1,42091,Yukon
2024,2,42194,Yukon
2024,3,42297,Yukon
2025,4,42850,Yukon
2025,1,42541,Yukon
2025,2,42644,Yukon
2025,3,42747,Yukon
2026,4,43300,Yukon
2026,1,42990,Yukon
2026,2,43094,Yukon
2026,3,43197,Yukon
2027,4,43749,Yukon
2027,1,43440,Yukon
2027,2,43543,Yukon
2027,3,43646,Yukon
2028,4,44199,Yukon
2028,1,43890,Yukon
2028,2,43993,Yukon
2028,3,44096,Yukon
2029,4,44649,Yukon
