Location,Month,Prices
"St. John's, Newfoundland and Labrador",Aug-99,68.9
"St. John's, Newfoundland and Labrador",Sep-99,70.1
"St. John's, Newfoundland and Labrador",Oct-99,72.9
"St. John's, Newfoundland and Labrador",Nov-99,71.9
"St. John's, Newfoundland and Labrador",Dec-99,75.9
"St. John's, Newfoundland and Labrador",Jan-00,74.9
"St. John's, Newfoundland and Labrador",Feb-00,76.5
"St. John's, Newfoundland and Labrador",Mar-00,82.7
"St. John's, Newfoundland and Labrador",Apr-00,79.7
"St. John's, Newfoundland and Labrador",May-00,80.2
"St. John's, Newfoundland and Labrador",Jun-00,85.2
"St. John's, Newfoundland and Labrador",Jul-00,87.9
"St. John's, Newfoundland and Labrador",Aug-00,83.4
"St. John's, Newfoundland and Labrador",Sep-00,86.3
"St. John's, Newfoundland and Labrador",Oct-00,85.5
"St. John's, Newfoundland and Labrador",Nov-00,88.6
"St. John's, Newfoundland and Labrador",Dec-00,84.9
"St. John's, Newfoundland and Labrador",1-Jan,81.1
"St. John's, Newfoundland and Labrador",1-Feb,80.9
"St. John's, Newfoundland and Labrador",1-Mar,80.9
"St. John's, Newfoundland and Labrador",1-Apr,83.1
"St. John's, Newfoundland and Labrador",1-May,88.4
"St. John's, Newfoundland and Labrador",1-Jun,85.1
"St. John's, Newfoundland and Labrador",1-Jul,77.6
"St. John's, Newfoundland and Labrador",1-Aug,76.9
"St. John's, Newfoundland and Labrador",1-Sep,79.7
"St. John's, Newfoundland and Labrador",1-Oct,76.4
"St. John's, Newfoundland and Labrador",1-Nov,71
"St. John's, Newfoundland and Labrador",1-Dec,68.2
"St. John's, Newfoundland and Labrador",1-Jan,68.7
"St. John's, Newfoundland and Labrador",1-Feb,70.1
"St. John's, Newfoundland and Labrador",1-Mar,71.1
"St. John's, Newfoundland and Labrador",1-Apr,76
"St. John's, Newfoundland and Labrador",1-May,79
"St. John's, Newfoundland and Labrador",1-Jun,77.3
"St. John's, Newfoundland and Labrador",1-Jul,77.2
"St. John's, Newfoundland and Labrador",1-Aug,79.3
"St. John's, Newfoundland and Labrador",1-Sep,80.6
"St. John's, Newfoundland and Labrador",1-Oct,81.4
"St. John's, Newfoundland and Labrador",1-Nov,83.1
"St. John's, Newfoundland and Labrador",1-Dec,80.5
"St. John's, Newfoundland and Labrador",1-Jan,84.1
"St. John's, Newfoundland and Labrador",1-Feb,85.7
"St. John's, Newfoundland and Labrador",1-Mar,89.4
"St. John's, Newfoundland and Labrador",1-Apr,83.9
"St. John's, Newfoundland and Labrador",1-May,80.4
"St. John's, Newfoundland and Labrador",1-Jun,79
"St. John's, Newfoundland and Labrador",1-Jul,79.3
"St. John's, Newfoundland and Labrador",1-Aug,81.4
"St. John's, Newfoundland and Labrador",1-Sep,87.9
"St. John's, Newfoundland and Labrador",1-Oct,82.1
"St. John's, Newfoundland and Labrador",1-Nov,80.9
"St. John's, Newfoundland and Labrador",1-Dec,80
"St. John's, Newfoundland and Labrador",1-Jan,81.7
"St. John's, Newfoundland and Labrador",1-Feb,84.1
"St. John's, Newfoundland and Labrador",1-Mar,87.8
"St. John's, Newfoundland and Labrador",1-Apr,89
"St. John's, Newfoundland and Labrador",1-May,94.7
"St. John's, Newfoundland and Labrador",1-Jun,97.9
"St. John's, Newfoundland and Labrador",1-Jul,93.2
"St. John's, Newfoundland and Labrador",1-Aug,94
"St. John's, Newfoundland and Labrador",1-Sep,94.1
"St. John's, Newfoundland and Labrador",1-Oct,97.3
"St. John's, Newfoundland and Labrador",1-Nov,94.9
"St. John's, Newfoundland and Labrador",1-Dec,91.3
"St. John's, Newfoundland and Labrador",1-Jan,87.5
"St. John's, Newfoundland and Labrador",1-Feb,92.6
"St. John's, Newfoundland and Labrador",1-Mar,93.9
"St. John's, Newfoundland and Labrador",1-Apr,99.4
"St. John's, Newfoundland and Labrador",1-May,99.9
"St. John's, Newfoundland and Labrador",1-Jun,99.8
"St. John's, Newfoundland and Labrador",1-Jul,104
"St. John's, Newfoundland and Labrador",1-Aug,108
"St. John's, Newfoundland and Labrador",1-Sep,125.2
"St. John's, Newfoundland and Labrador",1-Oct,115
"St. John's, Newfoundland and Labrador",1-Nov,100.7
"St. John's, Newfoundland and Labrador",1-Dec,99.7
"St. John's, Newfoundland and Labrador",1-Jan,103.5
"St. John's, Newfoundland and Labrador",1-Feb,103.8
"St. John's, Newfoundland and Labrador",1-Mar,99.5
"St. John's, Newfoundland and Labrador",1-Apr,114.7
"St. John's, Newfoundland and Labrador",1-May,118.5
"St. John's, Newfoundland and Labrador",1-Jun,115.4
"St. John's, Newfoundland and Labrador",1-Jul,116.5
"St. John's, Newfoundland and Labrador",1-Aug,119.8
"St. John's, Newfoundland and Labrador",1-Sep,104.3
