Location,Month,Prices
"Charlottetown, Prince Edward Island",Dec-99,62.4
"Charlottetown, Prince Edward Island",Jan-00,64.4
"Charlottetown, Prince Edward Island",Feb-00,64.4
"Charlottetown, Prince Edward Island",Mar-00,66
"Charlottetown, Prince Edward Island",Apr-00,66.5
"Charlottetown, Prince Edward Island",May-00,68.8
"Charlottetown, Prince Edward Island",Jun-00,68.9
"Charlottetown, Prince Edward Island",Jul-00,67.2
"Charlottetown, Prince Edward Island",Aug-00,71.7
"Charlottetown, Prince Edward Island",Sep-00,70.1
"Charlottetown, Prince Edward Island",Oct-00,72.2
"Charlottetown, Prince Edward Island",Nov-00,75.1
"Charlottetown, Prince Edward Island",Dec-00,73.7
"Charlottetown, Prince Edward Island",Jan-01,76.4
"Charlottetown, Prince Edward Island",Feb-01,67.5
"Charlottetown, Prince Edward Island",Mar-01,67.5
"Charlottetown, Prince Edward Island",Apr-01,70.1
"Charlottetown, Prince Edward Island",May-01,72.1
"Charlottetown, Prince Edward Island",Jun-01,73.4
"Charlottetown, Prince Edward Island",Jul-01,76.3
"Charlottetown, Prince Edward Island",Aug-01,73
"Charlottetown, Prince Edward Island",Sep-01,69.1
"Charlottetown, Prince Edward Island",Oct-01,70.9
"Charlottetown, Prince Edward Island",Nov-01,67.3
"Charlottetown, Prince Edward Island",Dec-01,65.1
"Charlottetown, Prince Edward Island",Jan-02,62
"Charlottetown, Prince Edward Island",Feb-02,62
"Charlottetown, Prince Edward Island",Mar-02,60.3
"Charlottetown, Prince Edward Island",Apr-02,62.8
"Charlottetown, Prince Edward Island",May-02,65.3
"Charlottetown, Prince Edward Island",Jun-02,63.9
"Charlottetown, Prince Edward Island",Jul-02,62.1
"Charlottetown, Prince Edward Island",Aug-02,63.7
"Charlottetown, Prince Edward Island",Sep-02,65
"Charlottetown, Prince Edward Island",Oct-02,68.3
"Charlottetown, Prince Edward Island",Nov-02,69.7
"Charlottetown, Prince Edward Island",Dec-02,65.5
"Charlottetown, Prince Edward Island",Jan-03,66.5
"Charlottetown, Prince Edward Island",Feb-03,72.7
"Charlottetown, Prince Edward Island",Mar-03,83.3
"Charlottetown, Prince Edward Island",Apr-03,81.8
"Charlottetown, Prince Edward Island",May-03,68.8
"Charlottetown, Prince Edward Island",Jun-03,63.4
"Charlottetown, Prince Edward Island",Jul-03,63
"Charlottetown, Prince Edward Island",Aug-03,63.5
"Charlottetown, Prince Edward Island",Sep-03,64.5
"Charlottetown, Prince Edward Island",Oct-03,62.5
"Charlottetown, Prince Edward Island",Nov-03,64.1
"Charlottetown, Prince Edward Island",Dec-03,63.3
"Charlottetown, Prince Edward Island",Jan-04,65
"Charlottetown, Prince Edward Island",Feb-04,67.6
"Charlottetown, Prince Edward Island",Mar-04,69.5
"Charlottetown, Prince Edward Island",Apr-04,74
"Charlottetown, Prince Edward Island",May-04,71.6
"Charlottetown, Prince Edward Island",Jun-04,75.5
"Charlottetown, Prince Edward Island",Jul-04,75.1
"Charlottetown, Prince Edward Island",Aug-04,76.4
"Charlottetown, Prince Edward Island",Sep-04,79.7
"Charlottetown, Prince Edward Island",Oct-04,83.9
"Charlottetown, Prince Edward Island",Nov-04,89.5
"Charlottetown, Prince Edward Island",Dec-04,83.6
"Charlottetown, Prince Edward Island",Jan-05,83.4
"Charlottetown, Prince Edward Island",Feb-05,82.3
"Charlottetown, Prince Edward Island",Mar-05,87
"Charlottetown, Prince Edward Island",Apr-05,94
"Charlottetown, Prince Edward Island",May-05,96.3
"Charlottetown, Prince Edward Island",Jun-05,94.5
"Charlottetown, Prince Edward Island",Jul-05,98.8
"Charlottetown, Prince Edward Island",Aug-05,97.5
"Charlottetown, Prince Edward Island",Sep-05,103.7
"Charlottetown, Prince Edward Island",Oct-05,107.7
"Charlottetown, Prince Edward Island",Nov-05,103.1
"Charlottetown, Prince Edward Island",Dec-05,97.8
"Charlottetown, Prince Edward Island",Jan-06,96.8
"Charlottetown, Prince Edward Island",Feb-06,97.8
"Charlottetown, Prince Edward Island",Mar-06,97.8
"Charlottetown, Prince Edward Island",Apr-06,104.3
